rank,total_deposits,bank_name,latitude,longitude,nearest_competitor_distance_km,branch_density_10km,state,city,log_deposits,log_nearest_distance,density_ratio,lat_lon_interaction,anomaly
49,42861521000.0,Frost Bank,29.7380305,-95.5015798,0.6127605860198017,12,Texas,Houston,24.481240314019658,0.4779473603645242,3297040076.923077,-2840.028892890584,0
50,42291904000.0,Umpqua Bank,47.2877727,-122.3138697,10.247266740650293,0,Washington,Federal Way,24.467861509904914,2.4201251427451043,42291904000.0,-5783.950468431017,1
51,41333273000.0,Old National Bank,41.9515248,-88.7255998,33.588846355146444,0,Illinois,DeKalb,24.444933654229047,3.5435312704167803,41333273000.0,-3722.174200404575,0
52,40335728000.0,Cadence Bank,29.7420879,-95.4412621,2.22640382259101,12,Texas,Houston,24.42050346403822,1.171368149361532,3102748307.6923075,-2838.622406665139,0
54,38155227000.0,First National Bank of Pennsylvania,40.4394921,-80.0009447,0.0,1,Pennsylvania,Pittsburgh,24.36492859711337,0.0,19077613500.0,-3235.1975711881873,0
56,35721000000.0,Barclays Bank Delaware,39.7377889,-75.5579793,1.0894348673728116,2,Delaware,Wilmington,24.299004588111554,0.73689363102627,11907000000.0,-3002.5070311339696,0
57,35229355000.0,Associated Bank,41.9759114,-87.7689214,1.3285504165876452,17,Illinois,Chicago,24.28514552090034,0.8452459351653728,1957186388.8888888,-3684.180468359964,0
58,31925666000.0,Bank OZK,34.2891597,-85.1505052,29.78356240284901,0,Georgia,Rome,24.18667610007263,3.426980859298094,31925666000.0,-2919.73927133848,0
59,30811669000.0,EverBank,25.7513497,-80.2552329,3.6107200688699255,8,Florida,Coral Gables,24.151159318844055,1.5283840419628798,3423518777.7777777,-2066.680567662845,0
60,29472691000.0,Hancock Whitney Bank,30.2166412,-81.5156123,11.770768208111097,0,Florida,Jacksonville,24.106729942761014,2.5471588254873123,29472691000.0,-2463.1280090674068,0
61,28520672000.0,BankUnited,25.8091025,-80.3265967,0.1518981545014227,5,Florida,Doral,24.07389499466232,0.1414111508146733,4753445333.333333,-2073.1573677064616,0
62,28325155000.0,TD Bank USA,42.0648588,-71.3298192,0.0,1,Massachusetts,Wrentham,24.06701611607852,0.0,14162577500.0,-3000.4787728775295,0
63,28320731000.0,Prosperity Bank,29.738022,-95.5079263,0.6127605860198017,12,Texas,Houston,24.066859917621006,0.4779473603645242,2178517769.230769,-2840.2168134837784,0
65,27517035000.0,Banc of California,34.0616915,-118.4144964,4.649734432337517,3,California,Los Angeles,24.038071104417963,1.731608540927565,6879258750.0,-4033.398045504661,0
66,27382942000.0,SoFi Bank,30.5438964,49.1699656,488.3047470039722,0,Khuzestan Province,دهستان جراحی,24.03318610176476,6.192985499870687,27382942000.0,1501.842335277964,1
67,26592282000.0,United Bank,38.351157,-81.6378371,0.0,3,West Virginia,Charleston,24.003886860293964,0.0,6648070500.0,-3130.905507762525,0
68,26559632000.0,Texas Capital Bank,32.7531869,-97.3326426,2.6452187820790902,2,Texas,Fort Worth,24.002658306074622,1.2934163861776111,8853210666.666666,-3187.954234548702,0
69,26482475000.0,Fulton Bank,40.7362336,-73.9937306,0.470603811817911,33,New York,New York,23.999749030452605,0.3856730727920689,778896323.5294118,-3014.2258946570682,0
70,26196760000.0,Commerce Bank,38.6276779,-90.1894157,0.0,9,Missouri,St. Louis,23.98890157598246,0.0,2619676000.0,-3483.807699648803,0
71,26148420000.0,First National Bank of Omaha,41.2348346,-96.1210023,2.509793585138204,11,Nebraska,Omaha,23.98705460502009,1.2555572280956033,2179035000.0,-3963.5336314267197,0
72,25327000000.0,BNY Mellon,51.5125419,-0.1024562,0.0,13,England,City of London,23.955136857348908,0.0,1809071428.5714285,-5.27777929541478,0
73,24326470000.0,MidFirst Bank,33.6080501,-112.0647141,10.100129159868285,0,Arizona,Phoenix,23.914830894888343,2.40695674427476,24326470000.0,-3766.2765259149764,0
74,24241174000.0,United Community Bank,3.1892015,101.7311394,0.0,5,Kuala Lumpur,Kuala Lumpur,23.911318429359202,0.0,4040195666.6666665,324.4411023711891,1
75,23977132000.0,Arvest Bank,39.0690777,-94.5525363,3.4039442991507576,10,Missouri,Kansas City,23.900366379768485,1.482500570994518,2179739272.7272725,-3694.0803874367707,0
76,23836506000.0,FirstBank,44.3829661,26.1320409,0.0,3,,Bucharest,23.8944841080418,0.0,5959126500.0,1159.8174853885134,0
77,22991983000.0,First Interstate Bank,41.2133715,-96.1117154,2.509793585138204,28,Nebraska,Omaha,23.858411426938687,1.2555572280956033,792827000.0,-3961.087832282471,0
80,22015816000.0,Ameris Bank,33.7620248,-84.3878303,1.329050052182962,2,Georgia,Atlanta,23.815026941149704,0.8454604815184074,7338605333.333333,-2849.1040194067914,0
81,21966925000.0,City National Bank of Florida,25.7743659,-80.1942957,6.617330711257298,2,Florida,Miami,23.812803750005926,2.0304260079691168,7322308333.333333,-2066.9571204645963,0
82,21959209000.0,Simmons Bank,51.5132639,-0.0862317,0.2122645883359973,13,England,City of London,23.812452432948113,0.19249017102949023,1568514928.5714285,-4.442076318645629,0
83,21588301000.0,Washington Federal Bank,47.5196392,-122.266537,7.473402404474551,1,Washington,Seattle,23.795417384583185,2.1369321286502045,10794150500.0,-5810.06172447345,0
85,21112221000.0,Bank of Hawaii,21.3087776,-157.862083,5.619332185271212,3,Hawaii,Honolulu,23.773117904120305,1.88999448650253,5278055250.0,-3363.848018119741,0
86,20970665000.0,Eastern Bank,42.363486,-71.054636,0.5610076674987818,8,Massachusetts,Boston,23.766390393374593,0.44533155343589004,2330073888.888889,-3010.122077421096,0
87,20810915000.0,Glacier Bank,45.9952811,-112.5131631,76.53527579160078,0,Montana,Butte,23.75874344567894,4.3507330043047014,20810915000.0,-5175.074564234647,1
88,20561746000.0,Atlantic Union Bank,37.5355275,-77.4359431,0.1594080657020084,11,Virginia,Richmond,23.746698196155315,0.14790958668902315,1713478833.3333333,-2906.5989717184852,0
91,20230264000.0,First Hawaiian Bank,21.9546345,-159.6665048,199.85811629246547,0,Hawaii,Waimea,23.7304455380162,5.302598769709854,20230264000.0,-3505.419754776496,1
92,19838783000.0,Cathay Bank,40.6166133,-73.9929439,1.961611971472553,25,New York,New York,23.71090459624632,1.0857337050603393,763030115.3846154,-3005.3427893148937,0
93,19133891000.0,Customers Bank,39.9762188,-75.1570941,2.372193237322348,8,Pennsylvania,Philadelphia,23.6747269975728,1.215563344939635,2125987888.8888888,-3004.496438113789,0
95,18519274000.0,Provident Bank,40.7219986,-74.1500207,10.339582099554027,0,New Jersey,Newark,23.64207786458614,2.428299445729379,18519274000.0,-3019.537039135371,0
96,18505243000.0,Bank of China,22.4135377,113.9828786,806.2310455430485,0,Hong Kong,Tuen Mun District,23.64131993433841,6.693609929081577,18505243000.0,2554.759546655623,1
97,18097184000.0,Centennial Bank,28.3633188,-81.2437637,0.0,1,Florida,,23.619022183059112,0.0,9048592000.0,-2304.3427703349676,0
100,16874463000.0,FirstBank Puerto Rico,18.4274026,-66.0638477,0.6641194152713844,1,Puerto Rico,Río Piedras,23.549067251035705,0.5092961038093122,8437231500.0,-1217.385118872984,0
101,15908572000.0,Rockland Trust Company,42.5304122,-71.2055224,7.3525331583307265,3,Massachusetts,Burlington,23.490123920459606,2.122564865109883,3977143000.0,-3028.4002185883337,0
102,15478780000.0,The Central Trust Bank,0.3126002,32.5744281,4.786748259773921,1,Central Region,Kampala,23.46273589069731,1.7555705206560335,7739390000.0,10.18277273894562,1
103,15175012000.0,Trustmark National Bank,33.519281,-90.1795017,41.18021931996972,0,Mississippi,Greenwood,23.442915964731856,3.741951374657066,15175012000.0,-3022.752057922278,0
104,15174200000.0,Renasant Bank,36.1526903,-86.7974395,16.02642145348492,0,Tennessee,Nashville,23.44286245428156,2.8347663406786383,15174200000.0,-3137.960949076487,0
106,14874335000.0,Apple Bank,40.6830243,-73.9957782,1.800520944262804,46,New York,New York,23.422903081563643,1.0298054513981503,316475212.7659575,-3010.3720426080104,0
107,14760571000.0,TowneBank,35.2079459,-80.8248403,0.5023188018407959,2,North Carolina,Charlotte,23.41522534107507,0.4070097823782205,4920190333.333333,-2845.67660465854,0
108,14721298000.0,Pacific Premier Bank,34.0543291,-118.4641817,4.649734432337517,1,California,Los Angeles,23.412561125775326,1.731608540927565,7360649000.0,-4034.218230173997,0
109,14514368000.0,Bank of Hope,40.7440211,-73.9145977,1.846744214543545,39,New York,New York,23.398404892379645,1.0461759604042535,362859200.0,-3011.5779282868116,0
110,14508219000.0,First Merchants Bank,-15.7854413,35.0069921,55.81032023624143,0,Blantyre,Blantyre,23.397981153441997,4.0397180035227205,14508219000.0,-552.6008188841137,1
112,14436329000.0,First Financial Bank,39.1391976,-84.4431146,0.0,9,Ohio,Cincinnati,23.393013713783134,0.0,1443632900.0,-3305.0357482888453,0
113,14085584000.0,Community Bank,43.4769365,-75.3198885,0.0,10,New York,Village of Boonville,23.368417700035003,0.0,1280507636.3636363,-3274.6780095015806,0
114,13990207000.0,Mechanics Bank,37.7938704,-122.4014681,0.0,12,California,San Francisco,23.361623421868874,0.0,1076169769.2307692,-4626.025222141135,0
115,13677444000.0,Banner Bank,47.6133833,-122.3157512,0.2613411018966869,5,Washington,Seattle,23.339013889651504,0.2321755215115568,2279574000.0,-5823.866745513035,0
116,13321160000.0,Bremer Bank,44.9001758,-91.9315714,3.2357892427008377,1,Wisconsin,Menomonie,23.31261958542895,1.4435696726536242,6660580000.0,-4127.743717430252,0
117,13313000000.0,Bank of America California,34.0536175,-118.2532727,1.2837150470479477,5,California,Los Angeles,23.312006838471305,0.8258035235236388,2218833333.3333335,-4026.9517166489923,0
118,13161765000.0,Enterprise Bank & Trust,33.6209387,-111.8929747,1.457453420214039,2,Arizona,Scottsdale,23.300581872467507,0.8991256187248788,4387255000.0,-3761.946843349351,0
119,12749471000.0,State Bank of India,8.5386859,77.0212491,0.0,1,Kerala,,23.26875561757246,0.0,6374735500.0,657.6602536905579,1
120,12679006000.0,Bell Bank,54.0720836,-2.0327687,26.3379099095129,0,England,Long Ashes Park,23.26321339179442,3.308274380294235,12679006000.0,-109.91603908586332,1
121,12598483000.0,First United Bank and Trust Company,37.7482756,-87.1136571,0.0,5,Kentucky,Owensboro,23.256842246909542,0.0,2099747166.6666667,-3288.3903367346966,0
122,12581505000.0,Seacoast National Bank,27.4290859,-80.326377,118.19655642933834,0,Florida,Fort Pierce,23.255493715482793,4.780773865198336,12581505000.0,-2203.279094768784,0
123,12576712000.0,First Financial Bank,39.1391976,-84.4431146,0.0,9,Ohio,Cincinnati,23.255112686886243,0.0,1257671200.0,-3305.0357482888453,0
124,12506747000.0,Northwest Bank,45.918411,-80.9270609,0.0,1,Ontario,Unorganized Centre Parry Sound,23.24953409571659,0.0,6253373500.0,-3716.04204342823,0
125,12468176000.0,Merchants Bank of Indiana,39.9263799,-86.1027174,3.839824943128781,5,Indiana,Carmel,23.246445314969385,1.576878551299389,2078029333.3333333,-3437.7698053347403,0
127,12039174000.0,Citizens Business Bank,34.16043,-118.2546718,3.568455434707432,1,California,Glendale,23.21143166990558,1.5191751685019723,6019587000.0,-4039.6304381968735,0
128,11952885000.0,Popular Bank,40.6478954,-74.0076321,1.9028380262772624,39,New York,New York,23.20423850886399,1.0656888881973012,298822125.0,-3008.2544884024824,0
129,11938584000.0,NBT Bank,42.6490557,-73.7518459,0.1271908699298957,8,New York,City of Albany,23.203041344997104,0.119728581791226,1326509333.3333333,-3145.446583766917,0
131,11693991000.0,Dime Community Bank,40.8303119,-73.6843116,4.470294652723929,2,New York,Port Washington,23.18234095715966,1.6993324820258786,3897997000.0,-3008.553424764788,0
132,11322359000.0,Sandy Spring Bank,38.9034018,-77.0210302,0.5204505002529024,15,District of Columbia,Washington,23.150045280325273,0.4190066726911224,707647437.5,-2996.380084920534,0
133,11235086000.0,FirstBank,44.3829661,26.1320409,0.0,3,,Bucharest,23.142307397294058,0.0,2808771500.0,1159.8174853885134,0
134,10933941000.0,PlainsCapital Bank,29.7398317,-95.4183489,0.6753347865210204,11,Texas,Houston,23.11513764148368,0.5160130178550357,911161750.0,-2837.72563737788,0
135,10770712000.0,First Bank,44.9405611,26.025349,0.0,10,,Ploiești,23.100096435586014,0.0,979155636.3636364,1169.5937868833237,0
137,10696190000.0,Veritex Community Bank,29.7300625,-95.4131697,0.5034818778868065,12,Texas,Houston,23.093153440331736,0.4077836700893401,822783846.1538461,-2836.639498504106,0
138,10649229000.0,Stifel Bank,38.6299094,-90.1888435,0.2530608701887665,8,Missouri,St. Louis,23.088753332208952,0.2255892542940517,1183247666.6666667,-3483.9868532957794,0
141,10388313000.0,BancFirst,36.0142881,-95.8857861,0.5378231879919555,5,Oklahoma,Tulsa,23.06394726130954,0.4303679021808641,1731385500.0,-3453.258325300376,0
142,10309166000.0,OceanFirst Bank,39.9575351,-74.3885023,19.90475022965734,0,New Jersey,Manchester Township,23.05629923946278,3.0399764168613967,10309166000.0,-2972.3811916886807,0
143,10028931000.0,Berkshire Bank,40.6342538,-73.993151,0.0,38,New York,New York,23.028739853080666,0.0,257152076.92307693,-3006.656477195724,0
144,10024728000.0,Busey Bank,38.5884946,-90.2442065,0.9505784573334476,10,Missouri,St. Louis,23.02832067770114,0.6681259733716736,911338909.0909091,-3482.3880752065347,0
145,9950424000.0,First Commonwealth Bank,32.8400325,-117.2739982,13.876426921755847,0,California,San Diego,23.02088100037483,2.699777874343942,9950424000.0,-3851.2819122929413,0
147,9934489000.0,Oriental Bank,3.1450321,101.6971096,6.196489682430695,5,Kuala Lumpur,Kuala Lumpur,23.01927827740496,1.9735933630268898,1655748166.6666667,319.8406741692182,1
149,9591386000.0,First Foundation Bank,37.8081306,-122.2658556,0.5893134131517386,8,California,Oakland,22.98413124105065,0.4633021073450864,1065709555.5555556,-4622.643436445541,0
150,9419824000.0,Safra National Bank of New York,40.7556259,-73.9795491,0.1016563500880388,31,New York,New York,22.966082241814497,0.09681482007251445,294369500.0,-3015.0828273702814,0
151,9291538000.0,EagleBank,38.9016826,-77.040359,0.8106919548612213,15,District of Columbia,Washington,22.952369930536697,0.5937090677248643,580721125.0,-2996.9995932080533,0
152,9200030000.0,"BANCO BILBAO VIZCAYA, S.A.",19.5146314,-99.1349864,736.5548291650075,0,Mexico City,Mexico City,22.94247258197435,6.603340430081069,9200030000.0,-1934.582718440013,1
155,8914506000.0,Beal Bank USA,27.964754,-82.512482,1.7552340967320732,1,Florida,Tampa,22.910945674611792,1.0135024105855859,4457253000.0,-2307.441261059428,0
156,8714124000.0,Washington Trust Bank,43.6686553,-116.28039,3.647297552880813,7,Idaho,Garden City,22.888210994629926,1.5362858792302114,1089265500.0,-5077.808269059567,0
158,8679032000.0,Bank of Baroda,51.5832676,-0.3142343,3.9807606258001234,1,England,London,22.88417583877766,1.6055826154780326,4339516000.0,-16.20923198599868,0
159,8603944000.0,Stellar Bank,29.731283,-95.418191,0.3152901401100657,12,Texas,Houston,22.87548653984629,0.2740572801595229,661841846.1538461,-2836.905239969053,0
160,8545676000.0,NBH Bank,38.9817531,-112.3232223,83.14683387977152,0,Utah,Fillmore,22.868691261092895,4.432563295208507,8545676000.0,-4378.556119095014,0
161,8513074000.0,Amarillo National Bank,35.202689,-101.8360985,9.037367535774768,1,Texas,Amarillo,22.864868936515823,2.306314882251779,4256537000.0,-3584.9045044688664,0
164,8402764000.0,Origin Bank,29.752754,-95.4103188,1.6326897554100928,13,Texas,Houston,22.85182653640944,0.9680060442554191,600197428.5714285,-2838.7197443179753,0
165,8374080000.0,The Bancorp Bank,35.9161464,-88.755219,12.808442246019773,0,Tennessee,Milan,22.848407057996653,2.6252801620741066,8374080000.0,-3187.745439368062,0
166,8356958000.0,Wintrust Bank,41.9113378,-87.6322319,3.0785091075609534,15,Illinois,Chicago,22.846360322345806,1.4057315068223168,522309875.0,-3672.7840733288353,0
167,8332439000.0,Woodforest National Bank,29.7151076,-95.316849,2.6010481493686397,8,Texas,Houston,22.84342204750731,1.2812249556877704,925826555.5555556,-2832.3504241279525,0
168,8253380000.0,Columbia Bank,47.6695851,-122.385331,8.138096076936339,3,Washington,Seattle,22.833888650480972,2.2124520570862827,2063345000.0,-5834.057951096168,0
169,8241155000.0,Amerant Bank,25.7975579,-80.3376247,1.6671229841877604,5,Florida,Doral,22.832406341069163,0.9810003574429382,1373525833.3333333,-2072.5145247467203,0
171,8212813000.0,Principal Bank,53.9588311,-1.0921992,2.252625980808474,1,England,York,22.828961332785813,1.1794626641850603,4106406500.0,-58.93379216035512,0
172,8211270000.0,Tri Counties Bank,37.744436,-122.4530137,2.412390518240654,12,California,San Francisco,22.828773437972526,1.2274130774295804,631636153.8461539,-4621.919938606773,0
174,7935139000.0,S&T Bank,40.0345879,-75.2162298,7.403484263604776,2,Pennsylvania,Philadelphia,22.79456670822567,2.1286464131325973,2645046333.3333335,-3011.250763434699,0
175,7805107000.0,ConnectOne Bank,40.7599997,-73.9205768,0.1926863598814611,38,New York,New York,22.77804410010875,0.1762082082005948,200130948.7179487,-3013.0026881918275,0
176,7778728000.0,Flushing Bank,40.7371753,-73.9882851,0.470603811817911,32,New York,New York,22.774658665754355,0.3856730727920689,235719030.3030303,-3014.073740265078,0
177,7774853000.0,Peoples Bank,41.7272005,-87.5514381,0.0,19,Illinois,Chicago,22.774160388209182,0.0,388742650.0,-3653.276411662039,0
178,7729854000.0,Nicolet National Bank,44.4839623,-87.9185581,18.20396824390377,0,Wisconsin,Green Bay,22.768355812045254,2.9551169370484853,7729854000.0,-3910.96582399076,0
180,7584919000.0,Byline Bank,42.0122402,-87.7093399,2.0078018029741567,16,Illinois,Skokie,22.749427770850073,1.1012095139480562,446171705.88235295,-3684.865855662244,0
181,7527967000.0,Centier Bank,39.8690377,-86.0973785,4.698861287045163,6,Indiana,Indianapolis,22.74189085571829,1.7402663806803773,1075423857.142857,-3432.61962928767,0
182,7456463000.0,Amalgamated Bank,40.7596796,-73.937487,1.0817138400088495,36,New York,New York,22.73234701017532,0.7331915159859815,201526027.02702704,-3013.668280549165,0
183,7442509000.0,Pinnacle Bank,36.0776221,-86.9497436,0.0,6,Tennessee,Nashville,22.730473860258915,0.0,1063215571.4285715,-3136.939991292694,0
184,7418267000.0,1st Source Bank,41.1093433,-85.1154626,5.601200381961097,1,Indiana,Fort Wayne,22.727211309030114,1.887251508549647,3709133500.0,-3499.0407721617107,0
185,7406232000.0,Union Bank and Trust Company,40.6844946,-76.1948316,0.0,1,Pennsylvania,Pottsville,22.725587645034135,0.0,3703116000.0,-3099.9482147781096,0
187,7192623000.0,German American Bank,39.1641277,-86.5162912,1.5902756570255554,2,Indiana,Bloomington,22.696321754529812,0.9517643013320374,2397541000.0,-3388.3350766871863,0
188,7035981000.0,Bank Hapoalim B.M.,32.1678588,34.8431793,45.85889819943285,0,Tel-Aviv District,Herzliya,22.67430296356225,3.847140920200425,7035981000.0,1120.8304718654829,0
189,6980349000.0,Sunflower Bank,33.467295,-112.2674576,8.499329743232405,1,Arizona,Phoenix,22.666364752613994,2.2512212427735334,3490174500.0,-3757.288122399192,0
191,6908488000.0,BankPlus,33.7472214,-90.7208036,0.1668223065133615,1,Mississippi,Cleveland,22.656016637613575,0.15428407651240617,3454244000.0,-3061.575044675117,0
192,6807136000.0,Lake Forest Bank & Trust Company,32.9094719,-96.7010454,3.2921530771613656,5,Texas,Dallas,22.64123731079248,1.4567884898270795,1134522666.6666667,-3182.3803362919243,0
193,6791460000.0,Tompkins Community Bank,40.0733279,-75.0759364,0.7600161719562794,5,Pennsylvania,Philadelphia,22.638931777641634,0.5653229976193678,1131910000.0,-3008.5426167567457,0
194,6786553000.0,Univest Bank and Trust Co.,40.1097432,-74.9520428,6.241909164556064,2,Pennsylvania,Bensalem Township,22.638208991441193,1.979884868397632,2262184333.3333335,-3006.3071890234087,0
195,6709753000.0,Liberty Bank,41.9244199,-87.7004267,0.0,22,Illinois,Chicago,22.626827976671255,0.0,291728391.3043478,-3676.7895143799706,0
196,6626112000.0,Hanmi Bank,34.2017643,-118.447216,2.586988208699317,2,California,Los Angeles,22.614284043941144,1.2773129113128823,2208704000.0,-4051.1037636231886,0
197,6621941000.0,Southside Bank,32.7320701,-97.3636185,2.46603612309002,2,Texas,Fort Worth,22.613654366487832,1.2430116133654805,2207313666.6666665,-3186.912785931657,0
198,6617174000.0,Central Pacific Bank,21.2827946,-157.8141892,0.4385289670245352,3,Hawaii,East Honolulu,22.612934227686214,0.36362104077198565,1654293500.0,-3358.726973709138,0
199,6566935000.0,International Bank of Commerce,29.6883964,-95.5869734,0.0,6,Texas,Houston,22.60531304628382,0.0,938133571.4285715,-2837.823956975456,0
202,6533737000.0,First Security Bank,35.2519554,-91.7370084,0.0,6,Arkansas,Searcy,22.600244898473452,0.0,933391000.0,-3233.908928646225,0
203,6526140000.0,Metropolitan Commercial Bank,40.7563918,-73.9802081,0.1016563500880388,31,New York,New York,22.5990814876916,0.09681482007251445,203941875.0,-3015.1663467691337,0
204,6513746000.0,CrossFirst Bank,38.8831779,-94.6403193,2.7504562121539844,4,Kansas,Leawood,22.597180550255445,1.3218774891571543,1302749200.0,-3679.9163718547034,0
205,6478568000.0,Intrust Bank,37.6932858,-97.2961872,1.498180973155996,4,Kansas,Wichita,22.59176533538926,0.9155628562993874,1295713600.0,-3667.412991379902,0
206,6474772000.0,Capitol Federal Savings Bank,39.0496522,-94.586806,1.1142000950350783,10,Missouri,Kansas City,22.591179231711276,0.7486765353032705,588615636.3636364,-3693.5818770088727,0
